,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P11,202.96952985544434,204.03001716083662,244.84183861307466,179.60260722602635,195.54167207047774,195.2738079643579,200.13996893844362,209.75633494756158,155.2393250370267,152.3097166567144,196.28613908262759,98.32962187428149,157.46552922595362,175.28384192244647,104.39093087854786,176.0021373893139,185.41274799294848,161.08299210299464,120.40576095551563,150.32998293627648,105.78886939397842,145.38444366185982,168.51620934140803,106.33832416588581,186.9466908212461,178.9876712017025,147.28352415967717,170.26010577051986,184.776493797005,114.78328219355475,131.52979754900193,134.05327802888036,112.42997579228935,155.62262582260058,88.34563560315334,185.65188176078448,155.6333330083041,179.96763044360773,122.53081661389419,154.46104725292582,152.87988788944978,174.5036914910394,124.8847065858514,193.81276130097808,112.8208815604162,172.3877485515936,155.22211227074038,90.82300316969705,87.21099944823962,97.23689246117713
P12,223.25392895871713,143.26666410823867,206.9367188777184,199.05133210208118,248.4275225740124,183.88792160534564,214.58562041221384,229.62041916027775,222.92883444693462,209.64905493818608,202.50701599828326,243.24659062942106,198.44399823736325,219.03188610800132,213.0523971325169,230.56481369863272,237.50452451054886,239.47409816600583,234.70609702026448,257.24952065157834,225.11411443142504,215.08307487565537,205.71212594418066,192.00682281385374,208.49478774721516,245.22586310258646,190.62710914708813,158.82828057236665,173.21999584859734,182.37603379960373,187.5090082712142,167.166503355509,158.56143103980648,130.03702797678864,209.29918042679037,199.65270329774626,187.0122963868023,244.65665846046977,221.76758153206652,236.91228284150702,196.26081572690893,179.42363835571123,235.00976130494513,177.58321508052313,231.1687427224855,199.47560848198194,252.93245063230805,288.3519136581448,228.2813302904587,261.1613999710872
P13,106.90754870068845,70.94706234426101,68.2917935226981,68.4501776080505,94.22322157958604,91.14720128150303,89.6117164753804,104.4196099619435,93.18924916962722,107.21601277035356,96.49664111185525,113.44376075591994,112.97468522321904,106.27832789505642,135.0337069268162,125.67930925012281,134.05226835272308,137.23175420754583,170.81992979452102,172.22553366066245,138.94233060712003,183.6613870659703,176.43524156741853,197.22391396484343,208.77733464600703,175.44542017462845,187.82713607612777,157.3877778303595,168.18782182348025,146.3952982096037,115.05999409933338,134.43681860750362,119.67031119700371,116.38652816924508,131.77020785254575,141.6557361481679,84.44099839460945,122.38153128218586,107.18838604489787,132.25947030493123,98.02171984679867,114.33339913527236,119.7382853809467,114.71244306223956,91.89326883844227,121.9072050024278,118.65644548135401,118.84358663184446,119.79501733416136,101.25512215792385
P14,94.75890320263568,84.05194094552051,83.1896861747834,75.45612728405972,75.35622853046608,67.76001174238021,56.8488995160603,62.94416263026191,58.894632408061426,58.810808580825224,75.24253694760365,72.9390799244756,77.19671931811848,60.916139436182256,75.1611976249525,73.88644730962358,83.75150770627246,97.53360257758717,76.24725297373284,84.21464193547492,74.63474865514686,88.87243678389356,79.24246712066657,69.8316904514883,72.06337871702608,73.57048490178417,60.42706501253143,81.42304609552944,92.81324473541969,76.35799441350196,64.62458771701824,73.17978973540843,69.35858185852739,68.9287797825766,82.55782700208778,65.00456458565664,77.4221187124471,84.21743971864599,73.5194721543428,58.509389740686885,103.21232435069655,87.07742058125243,56.81312370660745,60.50814559705096,56.9243871905858,33.40450889882684,53.71979867031847,35.99306162870018,48.886270703827456,43.046796113764806
P15,187.0528871523385,239.7066809849383,182.3063165921362,230.23637041174146,196.10339138992916,238.90449315258005,179.4905843919962,240.77827411928658,240.90573385877397,246.09410390797694,246.82372108898502,243.6382358988995,235.36827458156125,242.36049502895963,238.17579442835165,240.0027057326861,244.06326978595263,232.67736390620163,233.32467967298427,258.2349934759884,246.19132503612047,229.84308838152845,235.6022059662907,223.00141748738008,199.46826178408284,235.19988261510576,212.7988537166669,245.98383962540225,210.962921559205,258.9875737508966,227.87667849141127,222.00608886785082,207.53569109504494,200.10237276673982,218.1058387279491,212.6428834677409,218.47283969689005,213.6762506941429,235.55699184626,246.04843167290434,226.79187971556595,221.19746025019677,305.9506441938239,240.21998435762617,242.09024864943146,221.1172319661447,225.6953161043325,285.48620867049175,235.7084190141979,217.6620686085388
P16,161.02713759634452,180.44396010845165,130.92088126495952,197.24410975867076,190.0847276352827,166.75047116316165,210.79658565348612,182.10825697764673,169.08942030454773,176.91694168359268,183.81317222876507,192.08300417379962,215.03209094902363,188.2209717942953,258.8873017746502,235.96945782903964,223.52049900097643,185.86491334236578,232.3190587499525,236.90027328048015,200.24458537940436,289.5940979505005,274.2968410003717,287.66178987077944,313.5323070175533,238.7389996409032,383.99369763405304,301.0167761332651,306.8744834735719,311.5844306303829,233.26813254458204,294.5784453968809,288.27144112454897,280.7998967375244,338.3595906981424,270.18564348395785,285.76448962589313,264.30883360046323,234.94746292701825,273.1398614270004,188.5121649141181,204.84372952099713,232.41196072087737,244.44344697931533,263.8943199350918,253.61163889237093,221.5136965554363,325.0985059768778,238.55988449959486,292.559387052836
P17,431.9688512307506,345.61596401344826,316.8648232163387,362.0832457624069,378.4587745083161,381.3866086181373,424.89619771655435,322.42615516003593,356.5003374077106,349.1561034775006,336.15847002151816,299.01617786738683,308.0418063392841,343.3345681850824,285.2378017939099,358.0993823966719,370.34906217812164,346.3689739433154,363.75011437418993,351.38758244028134,337.8230189938475,365.1636837553676,378.3231255008526,344.08451711278667,319.6175462386165,322.15198213209453,348.05010705206746,324.86095069646257,320.17619396384066,421.66448086648944,372.4232228513136,333.1445895227886,348.7880996276969,346.43057682225964,350.7558157643477,344.533640574569,373.0102678636242,404.5418585325602,433.42833941902376,449.3983771975972,284.47110655580656,366.3014528294056,385.51893546994165,314.2624599765669,360.9654678950986,414.2112590343437,341.23837475701015,315.10613219057996,323.01855588495374,434.43949794167315
P18,277.5723536844372,304.7357191085023,284.42536616815113,308.3034337256542,195.68546797250036,272.57846587324036,412.8626236056209,255.526792199435,359.6838841962102,436.94505563373303,463.7212533640694,413.6038055810861,331.6646477663595,557.8689690264406,484.92790429032175,496.04845669674995,447.74703796682815,540.1958770046215,419.8661645033241,371.84248819206505,515.4476241367745,487.15439998289094,329.60032979413086,438.00307550277074,434.1433574877325,426.02762826619323,440.57207091281845,344.4785004355204,310.6701526815099,519.5410924067338,303.42039379150276,322.41883137704997,323.4255297991045,336.2334144985206,283.3983364193931,291.4658517695411,245.25482014870678,251.45945687402175,272.2023085030305,247.45659398098263,201.48593563586294,241.5211573157023,232.77425354383715,205.4614417243153,264.2131804025385,223.0842209052496,169.4368200037666,249.07959302987527,201.62270776333767,218.42654141825113
P19,204.41875236192692,192.47210971515335,236.9417333806605,198.8335228717001,249.0825709886794,192.77681408973535,227.75343268454878,265.8236941463402,242.50105319366222,202.8071297940842,185.6310440140685,161.46499415469904,149.51176093040291,175.94927091521444,169.2602105171576,165.22512125948998,196.29590690265766,179.07187402145595,216.93661723364835,168.57021741943518,144.25906091096056,146.34119107120208,174.8316256328357,174.24321440636683,177.01245480894372,175.8570336053367,164.8772408236722,187.8931851276119,185.5592236246764,188.3091624008443,175.7772022889113,155.16363920451454,170.64989160342722,171.78823033010516,195.52876065457008,182.3908239430925,181.0300231967564,181.21574253939676,187.25429904358603,174.30258593201964,183.84895707440674,155.4286870141382,193.0123886100738,219.34941350375112,201.86855807490147,154.8755815074497,186.88055916094785,190.69102274009845,203.72888566293943,165.4807633234283
P20,124.26481652544312,212.39542887295437,179.56439842196724,228.5958332243846,202.70160225913492,156.5625312310414,268.89776166939026,223.9650444395076,209.71066501492183,225.2325027466035,278.84505796360503,246.13705814609236,215.79452253424836,247.22749431383113,176.46960555128555,333.6414727552311,180.61375825385275,173.8793685799039,141.884558493348,162.50324131646275,152.89212803319802,163.29031904102825,148.1965427241116,497.67378894142655,589.8107729315544,546.9081321894972,417.5529546010162,323.9304105880245,1036.2577120999028,278.7279318023361,245.38356677594746,163.85095167266746,193.84766364681707,190.27810325029418,179.22814431318307,273.1226199005478,210.49932249883068,306.86074268164214,260.77291119701306,327.7109252081438,288.37833993618926,314.4781298292179,232.14421209120678,183.14354592965654,297.98540733607393,263.4763925310785,105.63112783667168,160.9064390676401,205.59278175307708,125.96792314861503
