,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P11,44211.18409175791,42718.897725913084,48018.57516297308,35205.63169881757,43856.119945317354,41777.10234797994,45894.17221522951,41438.548910381316,34925.13297321362,31762.095019875713,33958.50446723005,13581.005286248861,33838.44813698401,40007.87293495353,21149.77868531393,33542.3850239473,40950.7284893368,32953.015111150366,22134.605590329036,31320.08610923501,19893.32704981327,30030.838329384816,37194.78047244697,21831.469512859177,40521.99619066068,39894.8133898517,34555.409784480165,32049.165997021748,41593.13717978112,21343.519019404193,29775.047783926177,21873.42676101059,21678.03861071624,34913.57767014987,18402.759791825454,39779.47514456718,32740.118970741543,39236.41056102989,21268.32507451345,34519.19762605504,32940.87253097254,45388.284701061886,22927.010662542554,44435.8526579753,20301.346734789768,38088.697415401606,31378.15074532448,15420.087030202943,15098.49079918712,18098.795510330976
P12,37561.475908785214,27616.281471156908,41038.101183535095,39566.49645147292,44566.658114377795,34759.273891883015,43058.679044248274,41648.77631645335,42331.38185738944,41362.87641917336,33120.55608893447,40764.12284912419,39052.69193648634,38240.32581395426,32977.3158566576,40920.861476958074,39444.83199175058,40170.63608123805,38682.45747117853,46112.28582317621,35478.346436191714,37438.53383105088,34089.29772252537,33145.229344005726,36987.399361061965,34958.03839748988,25784.557536790653,24804.51777451117,26092.48354127379,40045.037420817316,38824.997264663776,30710.41991783035,33795.941483859,29395.490911358145,33730.151664208315,27771.200427222444,30014.113308786284,30846.873023828553,29432.95413040098,32410.116080296706,27428.027634350074,27056.178079576148,32396.854529727385,26840.17826926519,31981.774854916985,29450.152732168415,37745.96290305423,43574.826964225605,32982.512401650034,41258.54948641325
P13,19223.668282797167,13936.421599544654,12592.42026741663,15365.014498908029,15521.256002451628,15610.994818430416,16395.449800616567,16934.415858904948,17642.55150758044,17891.984329724077,17203.49733404017,18889.220145997988,22121.58272071436,18710.187269461298,22952.203271535043,24404.90943826375,25930.906589273174,25523.442397212366,35234.78282434849,27509.647684034775,30665.568892823867,37063.41815020663,35112.57918170724,39362.431697706656,35532.68037835549,30370.62719209284,35333.51200078571,29419.247112845456,34017.60321364582,26332.20326600075,23379.794244196397,25212.40352770008,23071.87516297973,20640.534506636588,21818.083792606874,26054.213352313112,13613.909056086608,21929.665035060065,21226.656486058615,26856.706102742897,16684.38985080541,21865.0162378068,22949.558320683973,23104.071404494214,18276.966099318586,21229.92274094922,21953.560205689748,19756.98594344932,21519.87071185356,21153.815010450227
P14,18216.927073479557,17795.00616121781,19309.88968945328,16880.600318474077,18381.6687392084,14257.46569600969,12940.446126095772,12625.207633553946,13309.496343583993,13800.099748766526,16192.483468751449,17044.947365812834,15483.979475123011,10999.170026919659,14479.135070678743,14379.415536471548,15792.101236462231,16905.592598027084,13512.746536080545,15458.778007636902,13358.344443800268,16913.861357704685,12697.659807971022,14000.573458579041,14826.449466384174,13216.676459293845,11248.137814665277,14148.162781632413,15459.469031325554,13840.303045457254,12132.754358602668,12731.084436277113,12290.281986604674,10797.768576965584,12754.240571871058,12005.626417227406,13165.318807409825,14956.909792864984,14226.86870931858,12417.84491449134,12267.90951454068,11060.147196402691,14101.549765212505,14397.145588196356,14406.31406119903,6785.006969835234,12180.157183730442,7264.652603675067,11275.684353850933,10564.29058772678
P15,31334.36125919287,32635.749016825805,35324.482668976285,32496.577619786647,35215.78487230683,33524.198233775205,33971.20427570891,37004.67117129985,39866.61275167117,41797.224648985364,40329.47508121676,38604.03579991206,37567.058836641925,40100.23906682298,35999.76966306847,34259.96346131019,41360.17326280219,30465.98781673077,36492.55258540597,38442.83114640199,38488.71956561292,35771.86393617149,37382.913499799324,33702.33527143162,33455.027584186435,36367.59225685605,35533.98466988411,37139.421225863225,37547.54863127478,32110.271417003758,38158.10587612541,29327.15036807773,32543.78411253712,30539.50945573217,33947.44000604923,29435.995902175604,34379.011224486996,30244.62160679541,35961.21264304862,33990.416101881274,34279.23602783913,32317.90609064028,38838.5967654383,33866.96117478559,34998.41116291447,25477.38252038516,36904.58290387201,37183.22980997416,33877.09931960891,32250.274796169913
P16,28468.18891813863,32811.56363044413,29728.50258180847,36369.118706442176,34697.548530177344,32418.802737448685,41693.076058103674,38993.02403261839,34552.662218938895,38805.17624447952,42138.78833532016,42569.979622049985,46587.14007074857,42351.24631604796,48685.5695828594,48810.179172631055,39652.9209787202,38550.77520402671,38940.76153283594,44695.12034214934,38286.63640116484,50299.450385529526,43312.368491268106,41430.690080613014,61039.630002731894,39023.61187252417,69585.72722424605,50588.20960668045,64933.72474070956,60012.160832034686,48474.93342818586,58529.573045500976,61539.3706020716,56808.052250580105,57888.92846013503,57761.86767208006,55362.99951500233,53761.70473296149,45982.69694756693,54475.07713805073,40225.531486729284,41092.51656403148,49822.86685918899,52127.18299094639,60312.80615186409,51008.322065150205,49577.563890815734,75791.31510596351,51792.12843210394,55002.950971477876
P17,59796.957637860505,58017.693513278384,49976.60926906014,49432.78319421499,51109.75689048139,49634.659623684565,57585.891942819086,50559.53681304485,51829.63121589658,48784.55656185032,52780.622582698685,46381.47583499414,49782.906247777995,57473.89447143582,46948.443793770464,56439.942168861155,50359.84086259327,52585.81383840873,57885.260763290746,54960.94387338925,56825.08476142122,56033.741861671115,57786.92534329812,56520.06649092858,48086.499587776474,52534.73228045972,54816.24610222057,52373.40301509859,47923.33650658558,61371.73558006443,55688.404014018,52627.62781693721,51602.192266755985,49718.86843513643,55639.51683457769,55897.40535174294,54645.28799789224,58190.30822662394,64382.94703555179,67462.04095236593,48951.53912128667,54842.894811101185,58767.49474250722,48080.45030924067,55935.220401953,60520.5273854625,59393.8968701851,59235.150734005096,54915.29433993523,65868.39698408304
P18,35088.703514217574,30571.014217419473,32315.6714310533,32705.432435348524,23121.4934929405,31781.824702312428,44513.03394744525,26915.16445047067,40540.45889118285,39101.51418920241,53399.28682627299,45476.64485335065,45706.42915587551,60079.42643910926,62566.45086870715,54904.15724789328,52527.32193926496,53118.842441190136,50653.8519428906,45251.83341041938,57743.374085815245,56575.74624075006,53310.34801703223,46747.64666157984,45599.83937385062,46816.41555858708,38361.48704156076,36738.351175069256,35425.2712516977,54009.99697129622,31593.94916003766,37885.13943148086,32420.12380660753,32483.150963750144,35309.10792332793,30220.029124161832,21238.140120429234,31259.823557508644,27996.1726102499,26972.678711152585,28414.636915774186,31187.627126821862,24553.2328294923,26855.340150738815,30449.97740921899,25021.68904761677,22999.658919784488,30502.80351335113,25269.53770182765,23964.74463302176
P19,37550.264296518755,35222.036870183685,39031.37050853758,26781.44302943471,37083.0758231074,30941.771904904752,30876.72871136704,34923.77062469318,39406.38827670658,32636.965951330967,39258.09813866156,36711.41188396774,36946.08440879926,39169.91486445669,35792.69887214573,37289.46620407817,40246.31439564696,43783.7084131466,46290.59928931169,34555.960671118795,33482.67651912571,37641.279090347336,44305.8167492387,40456.53468912115,45400.81962289399,45915.64779349351,37559.84761099047,46335.82948852288,43697.969906911225,42057.79595182189,42375.93004537032,31816.30758212162,42107.85836398169,37113.43632646502,45434.7528559175,44568.86374044707,39927.6242237542,44492.40720412123,44846.86112805623,40635.70419522867,37463.69772645584,35943.42853275374,43075.51938714957,45412.3459044116,44652.67172611682,32221.125834909897,41973.86346337359,38977.53242148779,41676.99071436099,35053.77281962108
P20,17250.048824218968,26837.399665277477,23206.303104347375,27762.049090961522,31150.309791562016,25732.85285067552,36564.479465838565,36872.472385235385,34745.7227754762,34007.44871217683,41139.08866797465,35986.95327731092,30733.341582852583,42579.85297291345,30009.392827438467,37085.16737867538,30443.754517140667,24608.64574195015,18330.94970973619,22104.33922556354,15278.594303654845,15414.756905692053,14377.734480463578,24228.22929339882,23249.82763085683,45579.64979933511,51594.52685984396,49892.19382737442,48911.13840973384,32248.422737934918,31922.988771754863,26175.432523214396,29227.950852214297,34648.14533207511,29011.99808735102,44954.704932094945,35492.96499259418,48362.6492855111,47384.28310427634,57783.88231417873,42346.99542532873,44788.562738399385,40127.24989426606,24705.01819610943,36125.81368719462,20162.908426372065,16785.52607352673,22230.974667168128,22338.422258600414,14646.429384057104
