,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P11,146744.54904559554,99938.57112826247,179868.10765999087,94921.84954229591,128118.8072209148,127804.30820054136,149037.95174507727,127796.16817036983,86229.4169853847,84755.91080889129,142887.8545476045,23175.77693275496,112476.78316660151,117172.88310308217,36086.2642870715,117247.36305674787,125131.07514682173,95010.03314629752,43357.77498020032,95509.71585293785,32496.44602617587,109657.43561553732,118357.1459761403,34703.1684432557,122663.63221407366,123945.47540381413,99365.75590884563,103315.3417528201,125432.47365911494,40952.903603284336,84628.00552428249,51125.14612486175,47497.2060719978,97876.40278824522,31429.27004291701,119135.7039884283,102752.67194858391,106604.89935581865,41149.3578291889,99235.28312710454,91535.70562366449,194339.60989728585,42011.03411679399,150083.87384550154,42268.240491901204,142767.28146118138,95721.63364085257,35112.15045273089,29803.37288312773,34741.020335564324
P12,102559.9443223218,39054.361807260415,77325.36250147315,77223.90844203821,117130.61377317735,59647.979719478935,80713.74570989948,105845.425060504,86900.99252966089,72766.57053944134,74101.01349455304,103484.03218311736,86896.18057886709,83005.97492178492,90800.19844392403,96084.73359218735,104615.09407553523,107099.92977055573,87524.25815850365,109015.95789384328,95915.71658015116,79907.8987877879,75771.45919972581,77333.79442975405,81414.34682688037,107796.14779669893,56516.03156834459,42522.05525820543,49807.40936870118,59964.947104406274,67053.41433666307,54611.79438346907,47252.61317538171,32162.075042216475,70036.37347781546,67446.25249759303,83279.53875334426,96338.88011390132,97922.64632362316,93434.95836294364,68998.2671618834,52476.7265838232,97811.69969592361,55119.7401470361,113853.77668138253,103841.7419719809,110165.46432739678,168195.56915035675,88319.01113719984,107077.8124122937
P13,18106.805562484704,10313.957449936848,9035.276934586953,9730.303695821305,14751.368755277525,14425.80117718671,15069.47204293517,17395.761892479,14590.224942631885,21945.673011636536,16046.524467293533,22217.246583328957,21828.26967224855,21471.31478404375,29404.06999374261,29475.178265869097,31444.067839842945,34445.266078859684,47740.60824007028,47514.15980995677,33551.410160053005,60189.45568748807,52297.33269876273,63232.39063048373,76033.08171312798,51862.25931695191,61816.37232160904,40355.274855889125,45546.8782244389,39239.87771895751,24135.582673347926,28631.365152312483,30378.422616199743,24529.128965338117,32235.55367150377,37180.004089356735,14059.956661617944,28192.096628819272,20587.480298013124,27329.195539592398,16857.644506178087,21809.953821251904,24805.528816022834,21177.29342524407,14783.631411173468,23573.46084187619,24804.70796265382,26403.25590427279,24741.09712567103,18527.957096013834
P14,15739.892065459962,12049.10194292564,12025.42045604829,9572.710027494963,11096.873520924248,8373.998981190141,6138.987494264538,6983.72077380412,5594.687857735639,6785.923650320244,10108.740686783303,11042.870338849807,11821.481653209466,7282.192280912047,10497.380665184228,10926.661612170235,12104.85666644933,15699.018572036648,11026.370420404111,11684.115241209462,9401.819402171845,13440.717038133484,11542.948566133084,9227.616018939687,9262.321535972407,10250.788345900497,6660.349148748849,11540.324100188931,20114.476569833,11092.421960214262,8017.968945992482,9365.228107606938,8141.907422147108,9252.423701235175,11985.134810135716,7597.445716527118,10538.217016365901,14146.512092733054,9631.92352197253,6284.741949376943,16494.25163314598,15412.555924980428,5237.995437949517,6693.39629158336,5620.296106729321,2062.1322125239503,5883.153141630547,2827.5746217591795,4806.584852016944,3231.04129186753
P15,62749.701258231,102377.7622833547,59679.610204880955,87943.74022502678,77883.45770553805,105141.63869080333,64336.86912991576,102423.88387996348,100341.14426642962,118528.17415183007,103881.0364725105,100101.08215068428,106451.5453782228,107073.19354377326,111222.42660870506,104600.97328618767,117715.63570848206,96637.71814581267,96083.94528168524,119070.83483040579,95729.10502563069,101099.70673647962,117621.2145366041,101549.75353798902,78467.60946023332,108021.92505781926,90996.0590283974,114107.79981492826,87785.59634933615,106286.65802495874,87445.92644656023,79675.55136965343,86073.23302453638,72941.1474058912,76150.13920346356,84252.55059973914,88855.30304460537,77626.34588282637,92250.57678880072,95945.15749102338,99393.60186166198,79360.35461544376,155427.84565800818,96289.43954859255,115341.77277821796,88473.64481765381,88452.61546815035,145834.29682483984,102175.44079459916,82945.30890874716
P16,52663.12120716707,66596.06445936457,34089.82750702266,79480.78402115412,64783.93374256879,52538.22057169825,88825.46510253132,69293.12994470677,52086.1958736314,73021.43105377122,73872.74746923182,72049.85560339894,91886.66735105628,83843.79086341831,125842.6740365878,122100.29017143494,104440.95878010947,70364.8801516653,126864.9926523693,104077.38989501794,88647.9419269406,167262.33363838054,135289.05108335288,167731.72327129793,212743.65199527683,114635.87790848096,274123.0450999785,175192.12141054907,189134.99254618294,199143.8416732789,132056.29396485238,173548.8178393376,172076.60437894025,172578.280301695,204338.99707031212,152958.90195102413,145939.0702321221,172512.71538545538,146111.81743001644,181727.6688374657,95593.83687432596,109006.88005182207,124399.33234844825,122165.94567622492,157583.66927584785,149471.21479855038,123241.052547871,332345.438522089,135243.06252708458,171122.08772211592
P17,383667.3523486268,192528.0936518332,186331.9469055653,230806.0958525889,255366.4532504623,266807.1133757329,326721.83782081626,219557.8978119903,250356.8685293091,228583.61510952257,215535.60592396423,212462.8058207682,218076.83645035792,241272.8224952884,169333.66183683698,242900.1404182879,283530.44442799856,246530.31653180573,267594.47205635963,244193.30969065404,238142.93278935508,296441.0957158167,298291.72546193906,230296.75818303844,223472.80093877684,230469.32678717666,241719.70781506074,203793.5527062129,207051.4102119608,321470.92379349057,250426.8657940452,180505.08540301304,208974.11547050616,191523.9633853378,233097.2772095357,227587.56612857812,225926.60967398158,269286.37894061615,373989.0537093007,346853.8602648728,151809.95497744044,222571.93283043444,247207.134354117,230952.01909610323,260148.68979590765,339034.15101363685,219633.7343845396,196573.4743985402,173953.18116547892,348365.164070528
P18,125707.15202122602,147316.93769661256,132973.76133964868,183768.235792952,66683.47498497517,137790.11315218636,284045.15728925145,122326.58815790273,289121.0261282185,360189.610166595,343474.7612797751,313863.78361159656,170445.60681481834,429855.42697332765,386619.1811902172,362886.29589343845,398923.31457711104,433032.08052227856,325592.804682543,267233.9134777967,450998.2064505943,379954.6909636581,175528.55041411737,303279.35909052397,363565.2942995216,258847.33510523816,359997.60558683,212435.37279546872,177581.59854041247,453888.16876893776,175888.73361798335,190702.36863487744,208249.8719242506,214277.13176046024,160306.1507780948,146131.61924701816,101534.39854468137,123191.38234999536,113486.25080739705,102845.005295464,77838.58081989411,86902.31159929727,100805.32185279332,70401.56982296052,121416.10875534127,96573.18375392936,53835.09830012835,105114.11510964794,67854.93647747904,78669.1255675023
P19,82891.42041764235,67258.88456890346,118334.57230819321,71471.23360780774,124868.40287666759,72298.35341965531,97862.80931112423,116622.28533974144,100141.00572722407,65554.03523200424,66066.7271105273,51052.60799834985,51128.39128265811,54129.50882597912,62237.499474766046,50665.80065618543,78985.62610517353,60594.29369659386,96497.33111803565,56150.71255596553,41364.95285225319,42200.294239875475,55317.489369680785,56868.80509133003,67196.11915570027,58768.48380438965,49389.393745772715,83235.84345118016,72246.01295130639,61099.48030620152,65003.26163466209,52355.602461600836,55439.540330193246,57043.1708160326,69950.44898337676,61674.67227574231,60287.28455085558,66823.12540690963,60260.006327814954,55798.40302541402,64099.72280424801,46530.827746772746,74040.72480740573,92032.90606805425,85293.26686485873,45590.77039709763,71250.58393707541,65157.760255721434,76293.59181951427,49566.77453668543
P20,32886.4853824583,73157.3163832787,62274.480046339166,111551.9333547703,69998.43372173818,47227.353421942295,125143.68424543513,94888.20158120141,76173.55046761135,96899.47352543025,127508.61074961434,129593.76749199662,102727.91377613672,120632.11673671291,77613.40734075836,237554.61189121255,60346.632282852726,81059.59968249917,59963.5770189287,70990.73088079135,62985.62327588038,60714.2219188799,67655.26553285976,401208.59810702875,449806.8068100854,439751.0417329822,347317.28748119314,218243.28877039428,1977617.9742418628,149611.81483625775,104748.2296038365,60026.846871760135,71312.07384404924,70107.26686503322,68377.0106433701,126079.22149944349,73565.10759513284,156733.89027247924,137972.68500231253,176086.39523062704,138908.17950658136,183594.32750320755,122686.88534486352,76587.30715371833,173882.06813176337,194844.85718510926,25809.7847229302,47148.57602680806,77811.77098073994,37549.44162068036
