,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P11,60075231.47499071,40884206.18560849,73572940.15999395,38839957.39784095,52400729.20710583,52281227.7428405,60980797.26027611,52271223.63131611,35277741.827594936,34665688.22068425,58467152.053637825,9598134.644836359,46028906.42235333,47930185.27820994,14765553.82274272,47954421.71303966,51178629.85194847,38871906.700956695,17762225.81224018,39068889.07037403,13292527.063756788,44851209.09906056,48445081.683853395,14239134.3814582,50173707.53874464,50709685.292197004,40644363.206643805,42300751.83827065,51312888.36484343,16750388.273243941,34612975.535637885,20914502.297627542,19428374.518620055,40032095.850576,12855178.184854902,48726882.626511425,42025851.36309249,43601745.228722006,16833942.83617283,40592290.377186164,37438280.98365311,79506757.51729889,17240414.999206986,61408126.8432056,17292736.48804199,58491942.67430763,39172478.43794599,14385629.970750429,12190656.720537513,14214340.566012934
P12,41968265.36769511,16116608.732538339,31626241.403002158,31584853.522336833,47954403.01299971,24436017.292444907,33013479.709511295,43292138.43220046,35546557.07573992,29786235.47321871,30330207.23129232,42345105.44522344,35619770.9509699,33974007.592037626,37223434.434750736,39353662.596232146,42812161.50525053,44058642.40412734,36183396.08013463,44708053.320349135,39232989.74369365,32756136.037558194,31027458.117662184,31630083.447220594,33299276.083911337,44120609.62445241,23196969.165740527,17473728.50127433,20376619.951880943,24526280.27133516,27425434.033933192,22336334.172696352,19337544.99270188,13176036.368742358,28657435.409985557,27606981.42796088,34062256.66867396,39444322.22335725,40050437.42699102,38246329.39637506,28274958.81677968,21475762.05182662,40008208.00319746,22545676.302341256,46574501.74797869,42471501.55897579,45072656.91679402,69190654.6830456,36399981.62585406,43795419.64916046
P13,7442403.909222075,4218427.69381953,3695564.4156784993,3980978.5314869746,6033415.051787872,5900431.9702521805,6163459.325546792,7118841.515153144,5975737.622658566,8993958.177312143,6563513.762603203,9100084.49301726,8928520.60984645,8801630.452311072,12029238.64279772,12061223.593547642,12861306.909429802,14089209.918281265,19526252.754505225,19435319.0841403,13723057.769790456,24642111.223705336,21398128.839631885,25890589.74027657,31101770.744441275,21211787.422064252,25284380.353676997,16507598.70487339,18636968.712873578,16049239.780525804,9871687.599804576,11722632.431141082,12426893.811226498,10038789.573127031,13236805.53472758,15222997.455058608,5750700.398148075,11530567.552028716,8422302.074322332,11179252.58447997,6898935.85232376,8922674.835694283,10147394.447307028,8661519.856190704,6046565.437437445,9648332.503685543,10145234.073784031,10800923.315980606,10119535.57630324,7584830.133883424
P14,6451757.4102275325,4928874.218013456,4921710.362783397,3917278.7117412332,4538963.905319988,3430057.55909314,2512086.668747582,2857455.2483280348,2289362.8836214137,2775529.069772063,4136557.89229313,4517469.847183105,4837518.255503893,2980929.3921569195,4293614.15854469,4469082.999704013,4951772.641955098,6421954.210393639,4510056.522892031,4781564.762805994,3849335.695404945,5497259.633870307,4721198.140493704,3774100.303132385,3788744.388628993,4193768.6765067913,2727660.063404968,4720300.892112266,8229118.066646006,4537031.293110667,3279424.666137108,3830581.2023854326,3330336.8558049784,3784937.428953412,4902836.149072539,3110100.927389034,4310287.720219891,5787204.211420447,3939707.738170116,2582502.2887327354,6932061.301660572,6470796.215964485,2142341.5283404035,2739465.9446597067,2298940.0449414575,845423.1358511788,2409079.899254707,1156487.734085496,1965981.051124453,1321544.5976952952
P15,25714788.094251007,41893271.96784851,24495004.477098294,36049705.39372322,31856856.5807017,43016695.92364746,26315932.83600261,41914101.24345964,41051034.33525288,48678242.55465829,42603141.69742318,40960070.157940164,43574145.10887462,43820129.70772175,45517251.16717582,42823354.97732051,48459850.837000385,39874730.63554062,39306184.2047766,48719411.14382773,39177933.871324465,41353513.6825863,48128284.96117627,41592759.52708143,32094790.81945015,44182010.48643987,37221960.653576314,46686173.79291518,35968700.781672224,43619204.751885,35932018.64289008,32621735.509270743,35257670.205647334,29860888.10981171,31164479.5470026,34726798.81904754,36593428.476964,31870336.40034209,37731709.27681696,39244423.91530958,40653824.42306853,32459000.31564744,63830468.17146546,39552559.02937165,47200049.6751923,36214615.30834321,36328238.56091787,59758047.6677096,41809061.407156914,34335722.417761914
P16,21542745.506738767,27240057.024540804,13942898.473645974,32508051.585813835,26498416.135064587,21490533.05889584,36331630.325756595,28347536.862195324,21328481.10940575,29868846.170396652,30215518.55628858,29470595.40121243,37586404.761077836,34336813.42392108,51471761.5098615,49944947.13731867,42862860.28464006,28788560.291535914,51889325.13473834,42623199.18720618,36257313.49094261,68555004.26068354,55333342.20694985,68614238.66691354,87575318.2840738,47580264.88805247,112657954.58701205,71806924.43441156,77638519.20998326,81520495.86874983,54011389.109549336,71059585.35450844,70443047.5245949,70590817.26183623,83575679.79702951,62598296.70505711,59711164.499519594,70558597.56847876,59773719.1754348,74327317.03757052,39109770.6192702,44705359.41771933,50931891.87532413,49970267.79726002,64462961.125846095,61133732.48633987,50408307.05190474,135929864.93884408,55320719.8614036,70092895.57099494
P17,160039675.9612056,78775871.8129609,76420403.95073126,94402001.18870977,104553092.07040179,109358974.09209718,133867013.39465497,89799236.6910915,102406946.9115856,93490972.50608002,88159713.594671,86927712.24089575,89251373.4286728,98714981.29758677,69273861.78697881,99361382.49372202,115967334.09250067,100841737.53424665,109460277.74428919,99875202.00468278,97422451.43145397,121291642.5658159,122592111.45052665,94298566.44018134,91483450.90611118,94262699.43175292,98898202.89510468,83381680.5570349,84684086.52056986,131559174.34916118,102429248.54906671,73852033.53835355,85501549.65036333,78335805.5913862,95341504.90472545,93117098.37806652,92434569.99254923,110202912.35177383,152969593.08403316,141876462.652527,62092631.864815675,91046116.55083476,101180645.48468098,94459381.75188878,106673513.22542487,138837832.09474397,89852210.31660794,80404211.71832287,71175982.33430903,144052526.98258197
P18,51419051.90368599,60253503.29365862,54567394.87643487,75557441.60889453,27299192.319653425,56363300.20952882,116252060.92063516,50183997.54762407,118252439.38217181,147324039.55862278,140534313.11127144,128689504.21297681,69760105.92113978,175898610.66421598,158312802.00693023,148444671.60849673,163176604.7802931,177212313.33350095,134102799.59369886,109397591.03813025,184482363.79867417,155401707.86619964,71836621.19513291,124626061.66751108,151078346.01808608,106853163.81767462,147263256.33787662,86893641.01600915,72637825.39376551,185923521.7832957,72635452.59241684,80056056.18011814,85211843.51442614,88034731.32523555,65607887.06959826,59862278.407753244,41529192.46215692,50550143.664685376,46666678.344849646,42080296.69001112,31872800.59995967,35564390.50574717,41238637.9928554,28910710.283128727,49663702.96587989,39530346.863229856,22042825.267665222,43003018.476221696,27754632.066358846,32209444.633907918
P19,33914249.38733168,27518314.952802643,48453197.7761381,29526790.188962072,51075921.675318465,29570874.931264654,40026085.28864688,48168793.550737806,41206448.7780451,26824173.81429294,27023854.659924764,20902903.917060938,20911680.204018507,22140101.304622203,25469568.339428008,20723423.968788564,32315235.556834467,24783068.34656047,39488959.881126866,22965722.167611882,16928831.691253994,17260199.22548585,22627402.08529432,23268203.239187784,27485346.703163117,24036694.10224202,20201034.53166818,34043466.82459952,29548694.79816611,24990192.73114753,26594843.454928152,21414322.536921248,22675968.445612594,23334233.877735816,28617614.66111251,25225075.07752015,24686678.521068398,27354384.63802679,24646343.298331574,22821769.706331998,26227277.510465667,19035448.27356822,30282851.71485752,37679274.056026146,34939718.282261804,18646840.134215634,29154336.010791745,26652064.965594314,31229217.86975646,20311932.629085533
P20,13516076.153116152,30033980.592376053,25477030.509193435,45714595.39602149,28629394.33499578,19461969.62276385,51184103.9878144,38881220.09440999,31225790.629251335,39662439.5297653,52235418.63706787,53036208.87795022,42118445.68212924,49454347.1880804,31793605.222049024,97440633.59316781,24789128.03619196,33317045.33265429,24704701.09121598,29295413.01036212,26013130.64826291,25005537.197852306,28051946.41779711,164106026.9177794,184270418.05837393,180972879.1531998,142082709.6191211,89545703.83433981,809226408.3922462,61304225.72175868,42906022.529583074,24640650.80449606,29166959.778442465,28711307.178941168,28005847.039035648,51608857.13855048,30169820.29020733,64262183.8579986,56431199.97492972,72024529.16792545,56817652.426986694,75119128.29799047,50240818.6868156,31328447.36296307,71238089.22086588,79827223.50001225,10561726.004706586,19315231.07557712,31832618.661634136,15362675.305384727
